Title,Rate,Comment,Author,Date,Extraction_date
"Overall, ver good.","['ui_bubble_rating', 'bubble_40']","Generally we felt the room , location and standard of hotel was very good. Sleep quality was only average due to the early hours construction noise of the Les Halles Forum outside our room. We acknowledge this was not the fault of the hotel though...More",A TripAdvisor Member,"Reviewed October 3, 2011",2017-12-08 11:57:59.799923
Anniversary in Paris,"['ui_bubble_rating', 'bubble_40']",More,ydderwen,"Reviewed September 27, 2011",2017-12-08 11:57:59.799936
"Nice room, in a messy area","['ui_bubble_rating', 'bubble_40']","I stayed 2 days at Novotel Les Halles, the best thing about it are the location close to the subway and the room, quite OK, clean, but small. With one kid it´s ok, with two it´s tight.
The negative point is the neighborhood, with lots...More",Marcos040,"Reviewed September 12, 2011",2017-12-08 11:57:59.799944
good location; better Novotels in Paris,"['ui_bubble_rating', 'bubble_40']","I stayed here with my older son on a bonding trip - and selected the hotel purely for its unbeatable location. As Novotels go, this one is below average - in Paris, I much preferred the one at the Gare de Lyon or in Bercy,...More",GalwayGeographer,"Reviewed September 4, 2011",2017-12-08 11:57:59.799971
"Strategic location, right in the heart of Paris...""","['ui_bubble_rating', 'bubble_40']","This hotel's location is hard to beat for a Paris weekend. You can walk to the Louvre, the Hotel de Ville, Notre Dame and Boulevard St. Germain, while the Les Halles complex is just out the door.
We toured Paris by Batobus (the hop on-hop...More",Teerex51,"Reviewed August 24, 2011",2017-12-08 11:57:59.799983
Great location,"['ui_bubble_rating', 'bubble_40']","I stayed here when visiting Paris for work. The location was very convenient for vote my business and the few hours I had for seeing the city. The room was modern, clean, and comfortable. The staff helpful and friendly. They even stored my baggage in...More",hoorayfarray,"Reviewed August 18, 2011",2017-12-08 11:57:59.799995
Great breakfast!,"['ui_bubble_rating', 'bubble_40']","Great breakfast to kick start your day, they have everything that a family will need. Great variety and quantity which was great for both adults and children. The hotels location was ideal, helpful staff and nice clean modern rooms. Would recommend it. We walked to...More",Touristy_11,"Reviewed August 2, 2011",2017-12-08 11:57:59.800006
"Location, location, location!","['ui_bubble_rating', 'bubble_40']",It's so good to be downtown and have everything at your door step! Even the RER to the airport is at breath's reach. You'll appreciate that when it's time to leave and you're dead tired!,GlobeTrekkerr,"Reviewed July 30, 2011",2017-12-08 11:57:59.800017
Novotel Les Halles,"['ui_bubble_rating', 'bubble_40']",More,An Accor traveler,"Reviewed July 24, 2011",2017-12-08 11:57:59.800027
"A good Hotel to stay in, Value for Money","['ui_bubble_rating', 'bubble_40']","Indeed we received an excellent service from the multilingual staff. Always willing to assist us on any matter raised, especially with transportation and guidelines to travel. The rooms were clean and comfortable, at least those that we were staying.
The location was excellent as it...More",A TripAdvisor Member,"Reviewed July 14, 2011",2017-12-08 11:57:59.800033
Good Location but Service is not so good,"['ui_bubble_rating', 'bubble_40']",We stayed in this hotel for 4 nights at the end of our 2-week trip to Italy and France. The hotel is centrally located right above the Chatelet Metro and we were able to access it from CDG by RER-B line without any change of...More,akirtania,"Reviewed July 8, 2011",2017-12-08 11:57:59.800045
Thumbs Up,"['ui_bubble_rating', 'bubble_40']",Great option for families. Kids enjoyed the kids room and free wi-fi downstairs was a nice amenity. Hotel well located right at the Chatelet subway stop which was a nice surprise when we were toting suitcases.More,A TripAdvisor Member,"Reviewed June 25, 2011",2017-12-08 11:57:59.800063
paris accomodation,"['ui_bubble_rating', 'bubble_40']","Excellent place to stay. Value for money, nice decor in room, great service, plenty of choice for breakfast, with two convenience stores nearby. It is in walking distance to many attractions and plenty of cafes nearby.More",Margaret J,"Reviewed June 19, 2011",2017-12-08 11:57:59.800074
A great hotel,"['ui_bubble_rating', 'bubble_40']","We stayed for 2 nights in this hotel. I chose it because it was very central.
The room was very basic, but very adequate and clean. The bed was quite comfortable, and the bathroom was of a very good size. Only down-side was the eye-sore...More",rolopolo16,"Reviewed June 13, 2011",2017-12-08 11:57:59.800084
Great Location and welcoming,"['ui_bubble_rating', 'bubble_40']",We flew to CDG Airport and caught a single RER train which goes direct to Gare Du Nord... stay on this train for one more stop and you are at this hotel! Situated immediately next to one of the (many) entrances to the Chatelet Les...More,TheClarkFamily,"Reviewed June 3, 2011",2017-12-08 11:57:59.800094
"Location, cleanliness, friendly, nice bar","['ui_bubble_rating', 'bubble_40']",The Novotel Les Halles is a very good locaiton for exploring Paris. We came as a group (90 of us) so the rate was very good. The staff treated us very nice. The bar was a great to meet and hang out in between jaunts...More,InglishSanLuisObispo,"Reviewed May 22, 2011",2017-12-08 11:57:59.800105
Excellent value as part of Eurostar package,"['ui_bubble_rating', 'bubble_40']","Stayed in a double room. Superb service, excellent breakfast (get down early to avoid a queue), and ideally located for metro.More",dzhz1,"Reviewed May 14, 2011",2017-12-08 11:57:59.800115
Perfect location and wonderful staff,"['ui_bubble_rating', 'bubble_40']","We arrived early, intending to leave our bags, but the staff were very accommodating and let us have a room ( the one room that was ready) immediately; a godsend as it meant we could chill for half an hour before setting out to find...More",nitty0,"Reviewed May 5, 2011",2017-12-08 11:57:59.800125
Average hotel at expensive prices,"['ui_bubble_rating', 'bubble_40']","I stayed with friends for 1 night in this hotel and found it to be quite average in terms of location, quality/size of rooms and service. Rooms were very small and location was also not that great in terms of view from hotel. The hotel...More",Anandspeaks,"Reviewed April 30, 2011",2017-12-08 11:57:59.800135
"Good for English speakers, children and breakfast","['ui_bubble_rating', 'bubble_40']","We had 4 nights with 2 children under 10.
Always hard to find reasonable family rooms in big cities, but this had a sofa bed which both the children slept on quite well and were comfortable. This made the room small but not unbearably so....More",AussieFamilyAway,"Reviewed April 17, 2011",2017-12-08 11:57:59.800146
good,"['ui_bubble_rating', 'bubble_40']","look for more cosiness in room..better blankets choices and better tea, coffee trays inhold as some biscuits .maybe some complimentary fruits to fresh customers and make them feel more comfortable...More",A TripAdvisor Member,"Reviewed April 6, 2011",2017-12-08 11:57:59.800158
"Overall, a pretty good experience","['ui_bubble_rating', 'bubble_40']",More,Telecaster2000,"Reviewed March 31, 2011",2017-12-08 11:57:59.800167
Great Location,"['ui_bubble_rating', 'bubble_40']","We stayed here for one night on a whirlwind trip of Paris in Febraury 2011. I chose the hotel mainly for its location and I was not disapointed - being able to walk everywhere to all the major sights and attractions.
We found the reception...More",yatesy82,"Reviewed March 3, 2011",2017-12-08 11:57:59.800174
"Novotel Paris Les Halles - Good, but not Great","['ui_bubble_rating', 'bubble_40']","Nice property, excellent location. Internet access should be free; it's not. Food at the hotel is outrageously expensive.More",N1805BN,"Reviewed February 9, 2011",2017-12-08 11:57:59.800187
"We love this hotel, especially the breakfast! xx","['ui_bubble_rating', 'bubble_40']","This is the third time we have stayed at the Novotel les Halles this year, travelling with our 2 children aged 9 and 7. It is an excellent choice for travel with a family. The location is superb - walking distance to the Louvre, Pompidou,...More",OffWeGoOnATripAgain,"Reviewed January 27, 2011",2017-12-08 11:57:59.800197
nice,"['ui_bubble_rating', 'bubble_40']","nice hotel, nice location, nice service, very nice breakfastMore",A TripAdvisor Member,"Reviewed January 10, 2011",2017-12-08 11:57:59.800208
Pleasant stay in center of Paris,"['ui_bubble_rating', 'bubble_40']",More,An Accor traveler,"Reviewed December 26, 2010",2017-12-08 11:57:59.800215
Large Rooms and a Very Central Location,"['ui_bubble_rating', 'bubble_40']","A few I talked to before going were surprised I was staying at Les Halles as the area has a bit of a seedy reputation. Granted, it is not the most charming quarter of Paris but it certainly may be the most convenient. The RER...More",KR-ORD,"Reviewed December 12, 2010",2017-12-08 11:57:59.800222
"Magnifique, magnifique.","['ui_bubble_rating', 'bubble_40']","We're in Paris 8th to 11th September and stayed with kids age 5 and 7. Booked in this hotel 6 months ago and paid E756 (4nights) on line for a Quad room, accomodating 4 of us, 2 adults and 2 kids. On arrival, reception is...More",mythalbie,"Reviewed November 10, 2010",2017-12-08 11:57:59.800233
"Location,location","['ui_bubble_rating', 'bubble_40']","Stayed Novotel Les Halle for 3 nights.This is a typical Novotel which is something like Holiday Inn or a little better. Nothing specially impredded about room. AC was not strong enough to make room nice and cool. Building and lobby area looks very nice.
If...More",TravelProNewYork,"Reviewed October 17, 2010",2017-12-08 11:57:59.800243
"This hotel was a great choice, it is...","['ui_bubble_rating', 'bubble_40']","This hotel was a great choice, it is really central, we walked to the Louvre, Champs Elysse and Arc de Triumphe. Reception staff were lovely and we got to check in early. We had booked for a party of 3 but only had 2 towels...More",Emkaloma,"Reviewed September 29, 2010",2017-12-08 11:57:59.800254
recommended,"['ui_bubble_rating', 'bubble_40']","It is great location the staff very helpful .Nice and simple room . The only thing about Novotel was kits in the bathroom is never enough .Free internet for the first day which nice .They don't give you any more shower cap , the Q...More",LarW3,"Reviewed September 15, 2010",2017-12-08 11:57:59.800265
Does what it says on the tin,"['ui_bubble_rating', 'bubble_40']","I stayed in the Novotel Les Halles for four nights in March. If you are looking for a hotel with character then this is not the place for you.
If you are looking for a place to sleep that's comfortable, clean, and near to the...More",EthereaI,"Reviewed August 21, 2010",2017-12-08 11:57:59.800275
hospitality is the last thing on these people's minds,"['ui_bubble_rating', 'bubble_40']",booked thorugh laterooms .com. The bookign was not processed properyl and the hotel sent an email to the accounts of laterooms to advsethe bookgi nweas cancelled . Not forwarded to us and only by chance that when I checked the booking 24 hours prior to...More,fraserross48,"Reviewed August 2, 2010",2017-12-08 11:57:59.800286
Location Location Location,"['ui_bubble_rating', 'bubble_40']","Great location and spacious room for Paris standards. Allowed us to check in early and gave us upgrade to family room. Rooms reminiscent of an ""American"" style hotel - not to fancy but comfortable, roomy and very functionable. Walking distance to major attractions and Metro...More",rudji,"Reviewed July 16, 2010",2017-12-08 11:57:59.800298
"Nice rooms, awful staff","['ui_bubble_rating', 'bubble_40']","First of all, I booked this hotel through Priceline and that's why I thought the price was good. For the period of my stay, booking with accor.com the price was over 200 euros and this hotel is not worthy of that.
This said, the room...More",amarques99,"Reviewed June 25, 2010",2017-12-08 11:57:59.800310
"Location, location, location... it was superb !!!","['ui_bubble_rating', 'bubble_40']","In the heart of Paris... near everything !
The hotel has a couple of exits, from the main door a few steps ahead you'll get to the Chatêlet Metro station, at the back you'll reach the Forum Les Halles hub for metro and RER.
You...More",ego_55,"Reviewed May 21, 2010",2017-12-08 11:57:59.800327
Brilliant for Families,"['ui_bubble_rating', 'bubble_40']","This hotel is in a perfect location, right by a major travel junction and the meeting point of several Metro lines. It is within walking distance of the Pompidou, the Louvre and Notre Dame. Lots of restaurants and bars nearby and within walking distance of...More",ACSOxford,"Reviewed April 7, 2010",2017-12-08 11:57:59.800339
WARNING - Major Renovations in Progress,"['ui_bubble_rating', 'bubble_40']","Be forewarned that the Novotel Les Halles is currently undergoing major renovations. Extraordinarily, the hotel has considered it acceptable not to advise customers when accepting bookings, taken pre-payments or at check-in. Be assured however that loud drilling and hammering will wake you early in the...More",mwhanc,"Reviewed February 12, 2010",2017-12-08 11:57:59.800350
Perfect location,"['ui_bubble_rating', 'bubble_40']","Great Hotel with a great location. We walked to Notre Dame, Louvre, Rue de Rivoli. Great cafes, eating options all around. Next to Forum Des Halles underground shopping arcade..great shopping options and Chatelet Les Halles railway station...great connectivity to the rest of Paris. The park...More",NBose,"Reviewed October 27, 2009",2017-12-08 11:57:59.800362
Nice hotel; shame about the building work,"['ui_bubble_rating', 'bubble_40']",This s a conveniently placed hotel with good rooms and professional staff. Unfortunately were are in the process of building something directly outside the main entrance during our stay so it was a litte noisy. Our other gripes were the size of the dining room...More,murraymints97,"Reviewed September 25, 2009",2017-12-08 11:57:59.800374
Poor - Thanks for ruining my anniversary,"['ui_bubble_rating', 'bubble_40']","Having been with my wife for one year to the day of our hotel booking, we decided on taking a short break to Paris.
I booked this hotel based on its location and reviews however an unfortunate event happened where in the week before we...More",henryboyson,"Reviewed July 16, 2009",2017-12-08 11:57:59.800386
"No way this is a four-star hotel. Serious, serious problems.","['ui_bubble_rating', 'bubble_40']","First, about the location. Yes, it's convenient to the subway and RER. Unfortunately, it's also in a SLUM. This is a lousy part of town, and if your room overlooks the Forum Les Halles you'll probably be awakened four times a night by drunks outside...More",RomanHans1,"Reviewed April 7, 2009",2017-12-08 11:57:59.800397
Novotel Hotel - With Credit Card Fraud included,"['ui_bubble_rating', 'bubble_40']","The Hotel is definetly lacking in:
1. Service
2. Style
3. Value
But when the front Desk manager (""Guy') removed the charge for a night that I didn't stay (Like I asked) and then began to argue with me about it...
After I left ,...More",DLTraveler1990,"Reviewed December 29, 2008",2017-12-08 11:57:59.800409
Great Hotel,"['ui_bubble_rating', 'bubble_40']",We carefully studied hotels in Paris for a 5 day(4 night) stay with our one year son. We soon came to the conculsion that many of tghe hotels in PAris offered what could be best described as cramped bedrooms. On the advice of our travel...More,pricewise,"Reviewed November 17, 2008",2017-12-08 11:57:59.800420
Expensive average hotel,"['ui_bubble_rating', 'bubble_40']","I booked this hotel as it is well known hotel chain. It was our 15th wedding anniversary and wanted something special, and at 480 euros for 2 nights, although quite expensive, thought it would be nice and was willing to pay a little extra as...More",AJC17,"Reviewed September 22, 2008",2017-12-08 11:57:59.800431
Nice hotel in the best location,"['ui_bubble_rating', 'bubble_40']","This hotel is in a great location, walking distance to notre damme with the metro and RER on you doorstep you can get the train from the airport to right to the hotel and a direct train to Disney.I found the rooms to be a...More",Gibso,"Reviewed August 8, 2008",2017-12-08 11:57:59.800442
Good location for first timers - many attractions within walking distance,"['ui_bubble_rating', 'bubble_40']","We arrived in Paris Gare du Nord around 10.30pm on the Eurostar, and as instructed by my guide book we headed to the right and found the taxi rank outside with barely any queue.
Within minutes we were whisked away in a taxi driven by...More",Purple C,"Reviewed June 16, 2008",2017-12-08 11:57:59.800453
"Well located, family friendly","['ui_bubble_rating', 'bubble_40']","We spent two nights in the Novotel Les Halles with our eight year old granddaughter, who really enjoyed it. The property is well located, within walking distance of many sights, including Notre Dame, the Pompidou Centre and the Louvre. There is a metro and RER...More",globaltraveller200,"Reviewed April 24, 2008",2017-12-08 11:57:59.800465
Novot hell - Avoid if possible,"['ui_bubble_rating', 'bubble_40']","In typical Paris fashion once again we were very disappointed with our accommodation. Having stayed at the awful Le Meridien Etoile the previous year we hoped that Novotel would prove a better choice. NOT!
We booked a ""Junior Suite/Family Room"". We arrived at a hotel...More",jarrodaston,"Reviewed January 24, 2008",2017-12-08 11:57:59.800476
Pleasant Stay,"['ui_bubble_rating', 'bubble_40']","All in all we had a pleasant stay at this hotel. Our room was clean, quiet, modern and tastefully decorated.
However there were a few problems. Although there is a temperature dial in the room, the temperature is centrally controlled, making the quilts they have...More",ChloeAthens,"Reviewed November 2, 2007",2017-12-08 11:57:59.800487
Pefect Location - good Familly Hotel,"['ui_bubble_rating', 'bubble_40']","Stay here for a week with my familly 2 adults and 2 children aged 3 and 8. Used it as a base for exploring all the Paris sites and a trip to Disneyland.
It's about the best price / location you can get for a...More",highflyin,"Reviewed September 10, 2007",2017-12-08 11:57:59.800498
Family of four,"['ui_bubble_rating', 'bubble_40']","Stayed for 3nights while sightseeing Paris - room was adequate for our family with a large teenager and 10 year old. Breakfast was plentiful but quite busy so worth getting there early. Good location as you can walk to the Louvre, Pompidou easily. Had an...More",ScotlandNetty,"Reviewed July 20, 2007",2017-12-08 11:57:59.800508
"Good hotel, nice people","['ui_bubble_rating', 'bubble_40']","My wife and I just returned from our trip to Europe and were pleased with our stay here from June 10-13th. As you can imagine, the room was not terribly large (the photos posted are about the same as our room), but they are clean...More",TripfamIly2011,"Reviewed June 21, 2007",2017-12-08 11:57:59.800519
Great Hotel,"['ui_bubble_rating', 'bubble_40']","We've just returned after a 2 night stay at this hotel. We had a deluxe room overlooking the Forum des Halles and St Eustache church. The room was modern, clean and well kept.
I don't know what other contributors are complaining about. We found the...More",tonyfletcher46,"Reviewed May 6, 2007",2017-12-08 11:57:59.800530
Great Place!,"['ui_bubble_rating', 'bubble_40']","We were staying in this Hotel on a 1 night break to Paris.
The room was clean, modern and a good size. The position of the Hotel was perfect. Even the usually sourly customer service you would generally expect from the French was not in...More",wellersky,"Reviewed March 22, 2007",2017-12-08 11:57:59.800540
Wonderful Rescue,"['ui_bubble_rating', 'bubble_40']",Novotel was a wonderful rescue from an internet reservation gone wrong. We had reserved a room at Hotel Saint Honore just steps away. That hotel turned out to be horrible. We needed another hotel and fast. Novotel had a room for us thank goodness! Our...More,JLaur78,"Reviewed January 17, 2007",2017-12-08 11:57:59.800550
Worst than the cheapest motel,"['ui_bubble_rating', 'bubble_40']","Stayed in room 151.from the website the hotel looks really modern and nicely designed. the lobby is nice, but when you get to the room, don't expect more than the a $30 motel room. very small room, utilitarian design (I mean I like modern, clean...More",Roy K,"Reviewed December 14, 2006",2017-12-08 11:57:59.800566
Excellent,"['ui_bubble_rating', 'bubble_40']","Could not fault this hotel or the location. If you want to be in the centre of a large city and surrounded by shops and restaurants within a few steps of the Louvre, Notre Dame and the Seine, then this place is hard to beat....More",paulmar,"Reviewed October 4, 2006",2017-12-08 11:57:59.800577
great hotel and great location,"['ui_bubble_rating', 'bubble_40']",,mf2006,"Reviewed September 6, 2006",2017-12-08 11:57:59.800588
Perfect for our family,"['ui_bubble_rating', 'bubble_40']",More,5onthego,"Reviewed August 3, 2006",2017-12-08 11:57:59.800594
Convenient,"['ui_bubble_rating', 'bubble_40']",More,Metwo3,"Reviewed June 12, 2006",2017-12-08 11:57:59.800600
very nice remodeled room -great location,"['ui_bubble_rating', 'bubble_40']",More,jif,"Reviewed March 9, 2006",2017-12-08 11:57:59.800606
"Central, adequate hotel","['ui_bubble_rating', 'bubble_40']",More,A TripAdvisor Member,"Reviewed August 31, 2005",2017-12-08 11:57:59.800612
Great for the price (Priceline) + Location,"['ui_bubble_rating', 'bubble_40']",More,msanta,"Reviewed March 20, 2005",2017-12-08 11:57:59.800618
"Noisy, stuffy.Avoid","['ui_bubble_rating', 'bubble_40']",More,scotty077,"Reviewed October 5, 2004",2017-12-08 11:57:59.800625
